	Prediction	Rewrite
345	Curtly Ambrose's cricket debut years like?	What were Curtly Ambrose's first years like?
346	Curtly Ambrose have a mentor?	Did Curtly Ambrose have a mentor?
347	Curtly Ambrose begin to gain recognition for his skills in cricket?	When did Curtly Ambrose begin to gain recognition for his skills in cricket?
348	Ambrose's debut in the One Day International (ODI) series?	What happened after Curtly Ambrose played in the One Day International (ODI) series?
349	Ambrose have any critics?	Did Curtly Ambrose have any critics?
350	Ambrose replace Garner?	Did Curtly Ambose replace Joel Garner in 1988?
351	Ambrose in the position of Joel Garner?	How long was Curtly Ambrose in this position of taking the place of the recently retired Joel Garner?
352	Ambrose took Garner's place?	What happened after Curtly Ambrose took Joel Garner's place?
353	Shahid Kapoor's personal life?	What was special about Shahid Kapoor's personal life?
354	fervent tabloid reporting in India controversial?	Did Shahid Kapoor and Kareena Kapoor's relationship cause controversy?
355	Shahid Kapoor involved in other scandels besides Mid Day?	Aside from the kissing scandal, was Shahid Kapoor involved in other scandals?
356	Shahid Kapoor ever married?	Did Shahid Kapoor ever get married?
357	Shahid Kapoor and Mira Rajput finally wed?	Did Shahid Kapoor eventually marry Mira Rajput?
358	Shahid Kapoor have any children?	Did Shahid Kapoor and Mira Rajput have any children?
359	Shahid Kapoor and Mira Rajput stay married?	Did Shahid Kapoor and Mira Rajput remain married?
360	Shahid Kapoor's off-screen work did he do?	What off-screen work did Shahid Kapoor do?
361	Shahid Kapoor do anything else other than marrying Mira Rajput?	Does Shahid Kapoor have any other passions besides acting?
362	Shahid Kapoor's personal life and off-screen work, besides supporting charitable organizations for various causes?	In addition to the charity work, are there any other interesting facts in this article pertaining to Shahid Kapoor?
363	Harriet Tubman, John Brown and Harpers Ferry?	What happened at Harpers Ferry?
364	Harriet Tubman took place at Harpers Ferry?	Who was John Brown of the raid on Harpers Ferry?
365	John Brown part of the raid on Harpers Ferry?	Was John Brown part of the raid on Harpers Ferry?
366	the Harriet Tubman attack on Harpers Ferry?	What happened during the attack on Harpers Ferry?
367	Harriet Tubman's men do after the raid on Harpers Ferry failed?	What did the attackers do after the raid on Harpers Ferry failed?
368	the Harriet Tubman raid on Harpers Ferry?	Was Harriet Tubman involved in the raid on Harpers Ferry?
369	Tubman involved with John Brown?	Was Harriet Tubman involved with John Brown of the raid on Harpers Ferry?
370	the abolitionist John Brown have to Tubman's activities?	What relationship does the raid on Harpers Ferry have to Harriet Tubman's activities?
371	the raid on John Brown, other than Harriet Tubman's goals?	In addition to the personality of John Brown, are there any other interesting aspects about the article on the raid on Harpers Ferry?
372	Tubman born?	Where was the colored abolitionist Harriet Tubman born?
373	Newt Gingrich's role in the government?	How did Newt Gingrich's role help in the government?
374	Newt Gingrich career?	Where there any conflicts in Newt Gingrich's career?
375	Newt Gingrich have any influences?	Did Newt Gingrich have any influences?
376	Newt Gingrich's role help pass the federal budget?	How did Newt Gingrich's role help pass the federal budget?
377	Requiem for the Indifferent and Retrospect in regard to Epica?	what is Requiem for Indifferent and Retrospect in regard to Epica?
378	Requiem for the Indifferent and Retrospect album?	what songs were on Requiem for the Indifferent and Retrospect?
379	Requiem for the Indifferent and Retrospect album come out?	what year did Requiem for the Indifferent and Retrospect come out?
380	Requiem for the Indifferent and Retrospect album popular?	was Requiem for the Indifferent and Retrospect popular?
381	the 10th anniversary of Epica in Eindhoven, Netherlands?	how did Epica celebrate?
382	the Requiem for the Indifferent and Retrospect concert in 2013?	what happened to Epica in 2013?
383	the Requiem album?	is there anything else interesting about Epica's Requiem album besides single was released through Nuclear Blast on 25 September 2012??
384	the Hungarian Remenyi Ede Chamber Orchestra and the Choir of Miskolc National Theatre?	what instruments were in the orchestra for Retrospect?
385	TY.O?	What was most important about 2011 for Taio Cruz?
386	"""Telling the World"" a hit?"	"Was ""Telling the World"" by Taio Cruz a hit?"
387	the song Telling the World was released?	"What band was Taio Cruz with when ""Telling the World"" was released?"
388	TY.O.	What was Rio?
389	TY.O.	"Besides premiering the song ""Telling the World"", did anything else important happen in 2011 for Taio Cruz?"
390	the TY.O album Black and Leather successful?	Was the album Black and Leather successful?
391	the TY.O albums singles make the charts?	Did any of Black and Leather's singles make the charts?
392	the most important thing to happen in 2012 for Taio Cruz?	What was the most important thing to happen to Taio Cruz in 2012?
393	the TY.O tour?	What happened on Pitbull's Australian leg of Planet Pit World Tour in August 2012?
394	Humphrey Lyttelton career first start to take off	When did Humphrey Lyttelton's career first start to take off?
395	Humphrey Lyttelton go to school at	Where did Humphrey Lyttelton go to school at?
396	Humphrey Lyttelton in	What country/state was Eton College in?
397	Humphrey Lyttelton's life	Is there something big that changed Humphrey Lyttelton's life?
398	Humphrey Lyttelton jazz love began	What year did Humphrey Lyttelton's jazz love begin?
399	Humphrey Lyttelton big jazz accomplishments	What was one of Humphrey Lyttelton's big jazz accomplishments?
400	Humphrey Lyttelton play any other insturments other than the wheelbarrow?	Did Humphrey Lyttelton play any instruments besides the trumpet?
401	Humphrey Lyttelton do anything else that is worth talking about in his career other than joining a wheelbarrow?	Did Humphrey Lyttelton do anything else that is worth talking about in his career besides playing the trumpet?
402	Humphrey Lyttelton did before he died?	Other than playing the trumpet and working as a cartoonist, what else did Humphrey Lyttelton do before he died?
403	Humphrey Lyttelton close with wally	Was Humphrey Lyttelton close with Wally Fawkes?
404	Humphrey Lyttelton work for?	What radio station did Humphrey Lyttelton work for?
405	Humphrey Lyttelton with BBC Radio 2?	How long was Humphrey Lyttelton with BBC Radio 2?
406	I'm Sorry?	Is the comedy show I'm Sorry all Humphrey Lyttelton did at BBC Radio 2?
407	Humphrey Lyttelton do in television	What did Humphrey Lyttelton do in television?
408	Humphrey Lyttelton work for any other stations besides BBC?	Did Humphrey Lyttelton work for any other stations besides bbc?
409	bbc start at BBC Radio 4	When did Humphrey Lyttelton start at BBC Radio 4?
410	Humphrey Lyttelton win any awards	Did Humphrey Lyttelton win any awards?
411	bbc most likely to be remembered for?	what is Humphrey Lyttelton most likely to be remembered for?
412	Humphrey Lyttelton do anything else worth mentioning other than his radio career?	Aside from BBC Radio, did Humphrey Lyttelton do anything else worth mentioning?
413	Humphrey Lyttelton have any major influences?	Did Humphrey Lyttelton have any major influences
414	William Jennings Bryan have to do with War and Peace?	What does William Jennings Bryan have to do with War and Peace?
415	"""universal peace""?"	Did William Jennings Bryan really think there could be world peace.
416	"""universal peace""?"	What did William Jennings Bryan's opponents say?
417	in every land and love reigns in every heart, are there any other interesting aspects about this article?	"Are there any other interesting aspects about this article, besides that William Jennings Bryan argued that ""universal peace cannot come until justice is enthroned throughout the world""?"
418	"""Imperialism"" about?"	"What was the speech ""Imperialism"" by William Jennings Bryan about?"
419	The Crystals, Mounting tension and break-up?	What is a song title from The Crystals you read about?
420	"the song ""Little Boy"" listed?"	Name another song listed by The Crystals other than Little Boy.
421	"""All Grown Up""?"	"Name another song you read about by The Crystals other than ""Little Boy"" or ""All Grown Up""."
422	"the song ""All Grown Up""?"	"Name another song you read about by The Crystals other than ""My Place"", ""Little Boy"", and ""All Grown Up""."
423	The Fabulous Freebirds?	What started the feud with The Fabulous Freebirds?
424	Kerry Von Erich receive the heavyweight championship title?	When did Kerry receive the heavyweight championship title?
425	The Fabulous Freebirds compete against?	Who did Kerry compete against?
426	The Fabulous Freebirds during 1983-1984?	Did anyone take the championship from Kerry during 1984
427	The Fabulous Freebirds?	What happened with the Fabulous Freebirds?
428	The Fabulous Freebirds with Kerry Von Erich?	Who defeated the Freebirds with kerry?
429	The Wiggles, Moran era?	What was the Moran era?
430	Moran era before Moran?	Who was the lead singer of the Wiggles before Moran?
431	Moran era stay with The Wiggles?	How long did Moran stay with the Wiggles?
432	Moran leave The Wiggles?	Why did Moran leave the Wiggles?
433	Moran era leaving The Wiggles?	Other than Moran's departure, are there any other interesting aspects about this article?
434	Moran era end The Wiggles?	Did the drop in revenues recorded in 2011 end the band?
435	The Wiggles not allowed to display their DVDs in WalMArt?	Why were the Wiggles not allowed to display their DVDs in Walmart?
436	John Dewey a teacher?	Was John Dewey a teacher?
437	John Dewey passionate about teaching?	Was Dewey passionate about teaching?
438	John Dewey's other thoughts about teaching other than dewey's education?	Other than believing that the successful classroom teacher possesses a passion for knowledge and an intellectual curiosity in the materials and methods they teach, what were John Dewey's other thoughts about teaching?
439	John Dewey's teaching philosophy?	In what year did John Dewey write about his teaching philosophy?
440	John Dewey's teaching philosophy?	Other than John Dewey's passion about teaching, is there anything else significant in the article about a teacher's knowledge?
441	International success at the international level?	What was the first indication of Spandau Ballet's success at the international level?
442	the notable songs from the album Parade?	What were the notable songs from the album Parade?
443	"the ""Only When You Leave"" do on the charts?"	How did the Only When You Leave do on the charts?
444	The Parade, are there any other interesting aspects about this article?	Besides the hit opening song Only When You Leave are there any other interesting aspects about this article?
445	Spandau Ballet's Through the Barricades received by the critics?	How was Through the Barricades received by the critics?
446	Spandau Ballet fans think of the new musical direction?	What did the fans think of the new musical direction?
447	"Spandau Ballet release another album after ""Fight for Ourselves""?"	Did Spandau Ballet release another album after Through the Barricades?
448	Spandau Ballet's Heart Like a Sky do on the charts?	How did Heart Like a Sky do on the charts?
449	the Spandau Ballet tour to support the a	Did Spandau Ballet tour to support the a
450	the Spandau Ballet band start to decline?	When did Spandau Ballet start to decline?
451	Augustus Pugin have?	what kind of reputation did Pugin have?
452	Augustus Pugin build?	what sort of buildings did Pugin build?
453	the reputation of Augustus Pugin?	was there more to Pugin's reputation?
454	Augustus Pugin die?	when did Pugin die?
455	the reputation of Augustus Pugin?	Other than the quality of construction in Pugin's buildings was often poor,was there any other aspects about Pugin's reputation?
456	Augustus Pugin's influence on other architects and designers other than architects?	what was Pugin influence on other architects and designs?
457	Pugin's influence on other architects and their designs besides architects?	In addition to the Pugin's reputation,ideas and death,are there any other interesting aspects about this article?
458	Don Shula born?	where was Don Shula born?
459	Don Shula born?	when was Don Shula born?
460	Don Shula's parents?	wher were Don Shula's parents?
461	Don Shula have any siblings?	did Don Shula have any siblings?
462	Don Shula go to school?	where did Don Shula go to school?
463	Don Shula go to high school?	where did Don Shula go to high school?
464	Don Shula leave as a coach?	What legacy did Shula leave as a coach?
465	Don Shula hold any other records as a coach other than the all-time leader in victories with 347?	Did Shula hold any other records as a coach besides being the all-time leader in victories?
466	Don Shula receive any awards?	Did Shula receive any awards?
467	Don Shula stand up next to other coaches other than the Don Shula Expressway in Miami?	How did Shula stand up next to other coaches?
468	Joe Gibbs, who coached four Super Bowls with three different quarterbacks?	Did Shula lose to any coaches?
469	Mohammad Amir come to international attention?	How did Mohammad Amir come to international attention?
470	Mohammad Amir's game against New Zealand in?	What match was Mohammad Amir in on 9 November 2009?
471	Mohammad Amir set aside from scoring 73 runs against New Zealand?	What other records did Mohammad Amir set, aside from 73 runs against New Zealand?
472	Mohammad Amir written in the international press?	Was Mohammad Amir written about in the international press?
473	Mohammad Amir's reaction in Pakistan?	What was the reaction to Mohammad Amir in Pakistan?
474	Mohammad Amir go on to any other notable matches other than the Pakistan cricket team?	Did Mohammad Amir go on to any other notable matches, besides on 9 November 2009?
475	the youngest player to ever take a five-wicket haul in England?	Was Mohammad Amir awarded the man of the match award against England?
476	Mohammad Amir been honored by the Pakistani government?	Has Mohammad Amir been honored by the Pakistani government?
477	Mohammad Amir?	Have there been any books written about Mohammad Amir?
478	Mohammad Amir's 2017 ICC Champions Trophy Trophy trophy?	What happened to Mohammad Amir in 2017?
479	Mohammad Amir playing for?	Who was Mohammad Amir, playing for in 2017?
480	Mohammad Amir do well the 2017 ICC Champions Trophy tournament?	Did Mohammad Amir, do well in the ICC ODI tournament in 2017?
481	Mohammad Amir's team play in the semi finals?	What team did Mohammad Amir and Sarfraz Ahmed play in the semi finals of the ICC ODI tournament in 2017?
482	ICC Champions Trophy win?	Did Mohammad Amir and Sarfraz Ahmed win against Sri Lanka in the ICC ODI tournament in 2017?
483	Mohammad Amir play in the finals?	Who did Mohammad Amir and Sarfraz Ahmed play in the finals of the ICC ODI tournament in 2017?
484	Mohammad Amir win an award for his performance?	Did Mohammad Amir win an award for his performance in the ICC ODI tournament in 2017?
485	the 2017 tournament Mohammad Amir won?	Aside from Pakistan winning, what else happened during the 2017 ICC ODI tournament?
486	Jimmy Little's career choice?	What was Jimmy Little's career choice?
487	Jimmy Little win anything?	Did Jimmy Little win anything?
488	the title of NAIDOC Aboriginal of the Year?	What happened next after Jimmy Little won NAIDOC Aboriginal of the Year?
489	Until the end of the World, what was Jimmy Little's song titles?	What was Jimmy Little's song titles?
490	Jascha Heifetz's career started?	How did Jascha Heifetz career start?
491	Jascha Heifetz ever release an album?	Did Jascha Heifetz ever release an album?
492	Jascha Heifetz ever release music?	Did Jascha Heifetz ever release music?
493	Jascha Heifetz ever retire?	Did Jascha Heifetz ever retire?
494	Jascha Heifetz do after retirement?	What did Jascha Heifetz do after retirement?
495	Jascha Heifetz concert performances?	In Jascha Heifetz Career, Is there anything interesting in the article?
496	the Spell in England?	What was Juan Sebastián Verón's Spell in England?
497	the spell at Old Trafford a great success?	Why wasn't Juan Sebastián Verón's spell at Old Trafford a great success?
498	the slower pace of the Premiership?	Besides trouble adapting to the faster pace of the Premiership, what else was bad about Juan Sebastián Verón's time at Old Trafford?
499	the slower pace of the second season at Old Trafford?	Besides pressure on Juan Sebastián Verón at the start of the second season, what else happened in Juan Sebastián Verón's second season at Old Trafford?
500	Juan Sebastián Verón win games in the Champions League?	Did Juan Sebastián Verón win games in the Champions League?
501	the slower tempo of the matches in the Champions League?	Besides Juan Sebastián Verón's improved performance in the Champions League, what else was notable about Juan Sebastián Verón's second season at Old Trafford?
502	laden tirade?	What was the outcome of the tirade against Juan Sebastián Verón's performance in his second season at Old Trafford?
503	the signing of Juan Sebastián Verón was an expensive flop?	Did Juan Sebastián Verón sign with someone else other than Manchester United?
504	Juan Sebastián Verón begin at Stamford Bridge?	When did Juan Sebastián Verón begin at Stamford Bridge?
505	Juan Sebastián Verón do at Stamford Bridge?	How did Juan Sebastián Verón do at Stamford Bridge?
506	the scores at Stamford Bridge?	What were the scores in Juan Sebastián Verón's debut game at Stamford Bridge?
507	he start fighting the Dutch?	When did Diponegoro start fighting the Dutch?
508	cholera epidemic in his fight against the Dutch?	Was Diponegoro successful in his fight against the Dutch?
509	cholera epidemic in 1824?	Why did Diponegoro fight the Dutch?
510	The Dutch before fighting?	Aside from fighting, did Diponegoro try anything else before fighting?
511	cholera epidemic?	How many were in Diponegoro's army?
512	cholera epidemic in 1824?	Is there any interesting information about Diponegoro?
513	The Ratu Adil, the just ruler predicted in the Pralembang Jayabaya?	What is the Pralembrang Jayabaya?
514	Orson Welles Goodwill ambassador?	What is a Goodwill ambassador?
515	Orson Welles do?	What did Orson Welles do as a Goodwill ambassador?
516	Orson Welles good at the OCIAA cultural tours to Latin America by Nelson Rockefeller?	Was Orson Welles good at being a Goodwill ambassador?
517	Orson Welles project?	What do you find interesting about Orson Welles in the article?
518	the ill-fated film project, It's All True, Welles?	In addition to radio programs, lectures, interviews and informal talks, did Orsen Welles have any other responsibilities?
519	Orson Welles' Mercury Theatre on the Air?	What was the Mercury Theatre on the Air?
520	Orson Welles' repertory company do?	What did the Mercury Theatre company do?
521	The Mercury Theatre on Julius Caesar do?	How did the play Caesar do?
522	Orson Welles business?	What happened next to the mercury theater?
523	Orson Welles' radio adaptation of The War of the Worlds by H.G. Wells October 30, 1938?	How successful was The War of The Worlds?
524	Orson Welles win any awards?	Did The War of The Worlds win any awards?
525	John Maynard Keynes play in the Second World War?	What role did Keynes play in the Second World War?
526	John Maynard Keynes hold in the Second World War?	What position did John Maynard Keynes hold in Second World War?
527	Baron Keynes instrumental in helping the government pay for the Second World War?	Was John Maynard Keynes instrumental in helping the government pay for the Second World War?
528	John Maynard Keynes use to pay for the Second World War?	What method did John Maynard Keynes use to pay for the Second World War?
529	John Maynard Keynes praised for his work during the Second World War?	Was John Maynard Keynes praised for his work during the Second World War?
530	John Maynard Keynes appointed to a special position in the Second World War?	Was John Maynard Keynes appointed to a special position during Second World War?
531	John Maynard Keynes' role in the Second World War?	Is there anything interesting about John Maynard Keynes role in the Second World War?
532	John Maynard Keynes' First World War?	What was John Maynard Keynes's role in first world war?
533	John Maynard Keynes help the British during the First World War?	How did John Maynard Keynes help the British in the first world war?
534	John Maynard Keynes in the process?	Which people were there to help John Maynard Keynes in the process of acquiring scarce currencies?
535	John Maynard Keynes were mentioned in the First world war other than John Maynard Keynes?	Which other names were mentioned in the First world war, besides John Maynard Keynes?
536	John Maynard Keynes' role in the war?	What was Chancellor of the Excheque's role in the war?
537	Chancellor of the Exchequer (then Lloyd George) role in the war?	Are there any other interesting aspects about this article, in addition to John Marnard Keynes being responsible for the design of terms of credit between Britain and its continental allies during the war, and the acquisition of scarce currencies?
538	John Maynard Keynes win any award or recognition?	Did John Maynard Keynes win any award or recognition?
539	John Maynard Keynes regarded as?	Which kind of warrior was John Maynard Keynes regarded as?
540	Vortex and Ed the Happy Clown?	What is Vortex and Ed the Happy Clown?
541	"""Yummy Fur"" comic book published?"	When did Vortex and Ed the Happy Clown start?
542	Yummy Fur end?	When did Vortex and Ed the Happy Clown end?
543	Yummy Fur collaborate with anyone on the comics?	Did Brown collaborate with anyone on Vortex and Ed the Happy Clown?
544	Yummy Fur?	Did Brown work with anyone else besides Harvey Pekar?
545	Yummy Fur was published?	How many Vortex and Ed the Happy Clown were published?
546	Yummy Fur?	Are there any other interesting aspects about this article aside from Brown collaborating?
547	the Yummy Fur stories were included?	What other stories were included besides defaecating?
548	e autobio?	When did Chester Brown publish his autobio?
549	Yummy Fur's autobiographical period?	What were critics' opinions of Chester Brown's work?
550	Yummy Fur's autobiographical period?	Aside from Chester's friends being uncomfortable with his writing, was there anything else noteworthy about Chester Brown's autobiography?
551	Yummy Fur's autobiographical period?	What was Drawn by Chester Brown?
552	arranging the panels organically on the page--a style that was to characterize his work of the autobiographical period?	Did Chester Brown popularize his style?
553	arranging the panels organically on the page--a style that was to characterize his work of the autobiographical period?	What was Quarterly by Chester Brown?
554	Yummy Fur's autobiographical period?	Aside from Chester Brwown, was there anything else notable in the Drawn and Quarterly article?
555	Irwin engage in?	What kind of sports did Steve Irwin engage in?
556	if Steve Irwin played cricket?	Where did Steve Irwin play cricket?
557	besides cricket, what's another sport that Steve Irwin liked to play?	Besides cricket, what's another sport that Steve Irwin liked to play?
558	Irwin ever in any competitions?	Was Steve Irwin ever in any competitions?
559	Irwin a fan of any rugby teams?	Was Steve Irwin a fan of any rugby teams?
560	controversies was Steve Irwin involved with?	What kind of controversies was Steve Irwin involved with?
561	involving Steve Irwin's children?	Aside from feeding a crocodile while holding his son, did Steve Irwin do anything else that was controversial involving his children?
562	involving Steve Irwin's children?	Why is Steve Irwin considered to be controversial?
563	Irwin's views on conservation?	What were Steve Irwin's views on conservation?
564	controversies about Steve Irwin?	Besides crocodiles, other animals were there controversies with Steve Irwin about?
565	Tape Deck by Frank Turner come out?	What year did Tape Deck Heart by Frank Turner come out?
566	Frank Turner record the album Tape Deck by?	Where did Frank turner record the album ''Tape Deck Heart'' at?
567	Frank Turner ever go on tour after releasing Tape Deck?	Did Frank Turner ever go on tour after releasing the album ''Tape Deck Heart''?
568	the singles from tape deck heart?	Were there any singles from tape deck heart album by Frank Turner?
569	"the single ""Recovery""?"	What came after Tape Deck Heart album by Frank Turner?
570	the name of the sixth album by Frank Turner?	What was the name of the sixth album by Frank Turner?
571	Frank Turner release any other albums besides Tape Deck Heart?	In addition to ''The Third Three Years'' and ''Tape Deck Heart'',did Frank Turner release any other albums?
572	Xtra Mile Recordings was distributed for free?	Anything interesting you can tell me about Frank Turner?
573	Dr. John's Voodoo influence?	What was the voodoo influence?
574	Rebennack do with the Dr. John persona?	So what did Rebennack do with the Dr. John persona?
575	the Dr. John persona?	Did Rebennack release any albums with Ronnie Barron?
576	Rebennack perform?	what stage shows did Rebennack perform?
577	Rebennack's show?	Did Rebennack perform any shows other than Dr. John's one?
578	Rebennack collaborate with any other bands besides Dr. John?	Did Rebennack collaborate with any bands aside from Ronnie Barron?
579	the musical Gypsy in 2003?	What happened with the Gypsy musical in 2003?
580	the revival of Gypsy in 2003 successful?	Was the 2003 revival of the musical Gypsy successful?
581	the 2003 Broadway revival of Gypsy?	How long did the 2003 Broadway revival of the Gypsy run?
582	the record for the Shubert Theatre?	What was the record gross for the Gypsy's 2003 Broadway revival?
583	the highest ever gross for a non-holiday week at the Shubert Theatre?	Other than the Gypsy's revival grossing $853,476 for the week of June 9-14, 2003, are there any other interesting aspects about this article?
584	the highest ever box office gross of a show in Shubert history?	Did the Gypsy's 2003 revival set records other than the highest gross for a show in Shubert history?
585	Tim Kaine take part in?	What committee assignments did Tim Kaine take part in?
586	Tim Kaine do on the committee of Armed Services?	What did Tim Kaine do on the committee of Armed Services?
587	Tim Kaine hold on the committee of Armed Services?	What title did Tim Kaine hold?
588	113th Congress (2013-11), and the Subcommitte on Seapower committee assignments and caucuses?	In addition to the committee of Armed Services, are there any other interesting aspects about this article?
589	based on vocational education and technical education?	Did Tim Kaine gain any positive or negative recognition?
590	Tim Kaine accomplish as a committee member on the budget?	What did Tim Kaine accomplish as a committee member on the budget?
591	Al Gore like while in Harvard?	What was Gore like while in Harvard?
592	Al Gore enrolled in Harvard?	How did Gore do there?
593	Al Gore enrolled in Harvard more after the lower one-fifth of his class?	Did Gore start applying himself more after been placed in the lower one-fifth of the class?
594	Al Gore get into any trouble while at Harvard?	Did Gore get into any trouble while in Harvard?
595	Al Gore graduate from Harvard?	Did Gore graduate?
596	Al Gore do while at Harvard?	In addition to becoming more involved with his studies, earning As and Bs what else did Gore do while in Harvard?
597	Al Gore do with global warming at that time?	Besides taking a class with oceanographer and global warming theorist Roger Revelle what else did Gore do with global warming in 1969?
598	Al Gore received any awards or special acknowledgements?	Did Gore receive any awards or special acknowledgements?
599	De Beers established?	When was De Beers established?
600	De Beers?	What was De Beers?
601	De Beers accomplish anything significant?	Did De Beers accomplish anything significant?
602	De Beers have any set backs or obstacles?	Did De Beers have any set backs or obstacles?
603	RuPaul's Glamazon?	What was Ru Paul's Glamazon?
604	RuPaul's sixth studio album?	Did Ru Paul's Glamazon have any singles?
605	RuPaul's sixth studio album a success?	Was the album Ru Paul's Glamazon a success?
606	the album Glamazon by RuPaul lead to any other roles other than the Billboard Top Heatseekers chart at number 11 and 8 respectively?	Did the album Glamazon lead to any other roles, aside from charting on on the Billboard Dance/Electronic Albums chart and the Billboard Top Heatseekers chart at number 11 and 8?
607	RuPaul do with make-up?	What did RuPaul do with make-up?
608	RuPaul's make-up line a success?	Was the makeup line Colorevolution a success?
609	RuPaul born?	Where was RuPaul born?
610	RuPaul's parents?	Who were RuPaul's parents?
611	RuPaul's career?	When did RuPaul start his career?
612	"RuPaul do after ""Love Shack""?"	"What did RuPaul do after his extra roll in the ""Love Shack"" video?"
613	RuPaul start working as a drag queen in the club scene?	Did RuPaul start working as a drag queen in the club scene?
614	Sakis Rouvas has?	What kind of vocal style does Sakis Rouvas have?
615	Sakis Rouvas' technical skills (range, power and versatility)?	What criticisms did Sakis Rouvas receive?
616	Sakis' criticisms are there?	Aside from the criticism of Rouvas's voice, what other criticisms are there?
617	Sakis Rouvas' vocal style?	Is there anything liked about Rouvas' vocal style?
618	Sakis Rouvas sings?	Are there any examples of difficult songs Rouvas sings?
619	"""especially difficult and demanding songs"", are there any influences to Sakis Rouvas' vocal style?"	Are there any influences to the vocal style of Rouvas?
620	Sakis Rouvas to begin singing?	What inspired Sakis Rouvas to begin singing?
621	Sakis Rouvas' first tv appearance?	What was Sakis Rouvas' first tv appearance?
622	Sakis Ruvas accept and appear on the show Village Roadshow?	Did Sakis Rouvas accept and appear on Village Roadshow?
623	Sakis Rouvas next tv offer?	What was Sakis Rouvas next tv offer?
624	Sakis' Alter Ego, or just sing?	Did Sakis Rouvas act in alter ego, or just sing?
625	Sakis play a role similar to him?	Did Alter Ego do well?
626	tv series has Sakis Rouvas been in?	In addition to Alter Ego, what other films has Sakis Rouvas been in?
627	a Hollywood psychological thriller released?	What year was the indie Duress released?
628	Duress a success?	Was the indie Duress a success?
629	World Championship Wrestling in 1996?	What happened to Nancy Benoit in the World Championship Wrestling in 1996?
630	the episode in which Nancy Benoit resurfaced in WCW?	What happened to Nancy Benoit in the WCW January 22, 1996 episode?
631	Nancy Benoit appear in following episodes?	Did Nancy Benoit appear in following episodes of WCW?
632	Nancy Benoit wrestle or just wave during the February 5 episode of Nitro?	Did Nancy Benoit wrestle or just wave?
633	Nancy Benoit's wrestling name?	What was Nancy Benoit's wrestling name?
634	Nancy Benoit tag-team?	Did Nancy Benoit tag-team wrestle?
635	Nancy Benoit's tag-team?	Who was Nancy Benoit wrestling?
636	Sullivan's then-valet Jacquelyn?	In addition to appearing on WCW, are there any other interesting aspects about this article?
637	Shraddha Kapoor grow up?	Where did Shraddha Kapoor grow up?
638	Shraddha Kapoor go to school in Mumbai?	Did Shraddha Kapoor go to school in Mumbai?
639	Shraddha Kapoor study at Jamnabai Narsee School?	What did Kapoor study there?
640	Shraddha Kapoor do during her childhood besides schooling at Jamnabai Narsee School?	Besides schooling at Jamnabai Narsee School, what else did Kapoor do during her childhood?
641	Shraddha Kapoor have siblings?	Did Kapoor have siblings?
642	Siddhanth Kapoor's parents do?	what did Kapoor parents do?
643	Siddhanth Kapoor's family life?	In addition to Kapoor childhood and schooling, are there any other interesting aspects about this article?
644	Sraddha Kapoor leave?	Why did Kapoor leave?
645	Shraddha Kapoor do well in Teen Patti?	Did Kapoor do well in Teen Patti?
646	X Japan in 1993?	What happened in 1993?
647	"X Japan's album ""Art of Life"" sound?"	How did Art of Life sound?
648	the X Japan album Art of Life successful?	Was Art of Life successful?
649	X Japan only perform 2 concerts?	Why did Art of Life only perform 2 concerts?
650	X Japan's solo careers?	What happened with the solo careers?
651	X Japan's press conference?	What happened after the announcement?
652	X Japan's decision to leave the band?	What did Toshi say about his decision?
653	X Japan's decision to leave the band?	Besides stating success-oriented life of a rock star failed to satisfy him emotionally, did Yoshiki say anything else about being in X Japan?
654	"X Japan have other performances in addition to the ""brainwashed""?"	Besides only performing two concerts in 1993, did X Japan have other performances?
655	Rebel Wilson do first in her career?	What did Wilson do first early in her career?
656	Rebel Wilson studied at ATYP?	After Wilson studied at ATYP what did she do?
657	Rebel Wilson do in New York?	What did Wilson do in New York?
658	Rebel Wilson first start performing?	When did Wilson first start performing?
659	Rebel Wilson do after The Westie Monologues?	What did Wison do after The Westie Monologues?
660	Rebel Wilson star in any movies or TV shows during 2002-2010?	Did Wilson star in any movies or TV shows during her productions and performance?
661	Rebel Wilson's TV shows besides Pizza?	Together with Toula, was there any other TV shows casting Wilson?
662	Rebel Wilson star in any films during 2002-2010?	Did Wilson star in any films during her sketch comedy series casting?
663	Rebel Wilson win any awards during 2002-2010?	Did Wilson win any awards during her starring in feature films?
664	Rebel Wilson's role in the film Bargain?	Besides Wilson's achievements, did you find anything else interesting in the article?
665	Rebel Wilson appeared in other things you didn't mention other than improvisational comedy show Thank God're Here and Talkin' 'Bout Your Generation?	Aside from all aforementioned works, has Wilson appeared in other things you didn't mention?
666	Ion Heliadulescu final years?	What happened in the Ion Heliade Rădulescu's final years?
667	Ion Heliadulescu published on a variety of issues?	What type of issues did Rădulescu publish on?
668	Ion Heliadulescu die?	When did Rădulescu die?
669	Ion Heliadulescu's death date to his death?	Besides Rădulescu's publishing, what else did you find interesting?
670	Ion Heliadulescu's creation of the Romanian Academy?	Around what years did Rădulescu become Romanian Academy President?
671	Ion Heliade Rădulescu publish independently or through a company?	Did Rădulescu publish independently or through a company?
672	Ion Heliade Rădulescu's work well received in his later years?	Was Rădulescu's work well received in his later years?
673	Billy Hughes as prime minister?	how was Billy Hughes as a prime minister?
